field_index,label_value,predictions,confidence
-1,20250879,20250879,20250879
0,9,9,9
1,7,7,7
2,22,22,22
3,25,25,25
4,19,19,19
5,21,21,21
6,40,40,40
7,24,24,24
8,43,43,43
9,22,22,22
10,60,60,60
11,18,18,18
12,20,20,20
13,13,13,13
14,24,24,24
15,17,17,17
16,6,6,6
17,20,20,20
18,27,27,27
19,87,87,87
20,38,38,38
21,13,13,13
22,10,10,10
23,7,7,7
24,17,17,17
25,5,5,5
26,31,31,31
27,36,36,36
28,87,87,87
29,5,5,5
30,35,35,35
31,35,35,35
32,7,7,7
33,20,20,20
34,8,8,8
35,18,18,18
36,50,50,50
37,63,63,63
38,65,65,65
39,37,37,37
40,62,62,62
41,30,30,30
42,42,42,42
43,22,22,22
44,84,84,84
45,65,65,65
46,167,167,167
47,20,20,20
48,142,142,142
49,11,11,11
50,6,6,6
51,21,21,21
52,6,6,6
53,3,3,3
54,11,11,11
55,42,42,42
56,21,21,21
57,30,30,30
58,13,13,13
59,31,31,31
60,7,7,7
61,9,9,9
62,9,9,9
63,23,23,23
64,5,5,5
65,12,12,12
66,9,9,9
67,21,21,21
68,10,10,10
70,4,4,4
71,4,4,4
72,12,12,12
73,16,16,16
74,22,22,22
75,5,5,5
76,10,10,10
77,7,7,7
78,11,11,11
79,21,21,21
80,45,45,45
81,11,11,11
82,42,42,42
83,4,4,4
84,53,53,53
85,13,13,13
86,11,11,11
87,6,6,6
88,3,3,3
89,20,20,20
90,3,3,3
91,5,5,5
92,6,6,6
93,33,33,33
94,4,4,4
95,17,17,17
96,5,5,5
97,9,9,9
98,9,9,9
99,4,4,4
100,4,4,4
101,9,9,9
102,38,38,38
103,11,11,11
104,53,53,53
105,28,28,28
106,22,22,22
107,19,19,19
108,28,28,28
109,8,8,8
110,16,16,16
111,8,8,8
112,11,11,11
113,7,7,7
114,27,27,27
115,40,40,40
116,5,5,5
117,15,15,15
118,93,93,93
119,8,8,8
120,7,7,7
121,19,19,19
122,3,3,3
123,4,4,4
124,4,4,4
125,18,18,18
126,40,40,40
127,29,29,29
128,89,89,89
129,141,141,141
130,37,37,37
131,23,23,23
132,21,21,21
133,50,50,50
134,86,86,86
135,166,166,166
136,60,60,60
137,20,20,20
138,8,8,8
139,27,27,27
140,169,169,169
141,13,13,13
142,64,64,64
143,7,7,7
144,14,14,14
145,28,28,28
146,20,20,20
147,167,167,167
148,4,4,4
149,51,51,51
150,8,8,8
151,14,14,14
152,45,45,45
153,32,32,32
154,112,112,112
155,22,22,22
156,103,103,103
157,12,12,12
158,33,33,33
159,5,5,5
160,6,6,6
161,10,10,10
162,61,61,61
163,6,6,6
164,23,23,23
165,6,6,6
166,4,4,4
167,9,9,9
168,16,16,16
169,5,5,5
170,154,154,154
171,12,12,12
173,8,8,8
174,11,11,11
175,7,7,7
176,73,73,73
