field_index,label_value,predictions,confidence
-1,-1,28,38
0,31,22,[23 27 28 31 32 33 40 46 55]
1,31,28,31
2,31,31,47
3,31,31,35
4,31,31,[30 31 47]
5,31,31,58
6,31,31,70
7,31,27,36
8,31,31,[45 78 79 83]
9,31,[17 22],36
10,31,28,[33 34]
11,31,28,25
12,31,28,47
13,31,28,[21 25]
14,31,28,[20 21 26 29]
15,31,22,[19 20 21 25 31]
16,31,31,[28 37]
17,31,28,26
18,31,22,47
19,31,25,[31 49]
20,31,25,31
21,31,31,[30 49]
22,31,28,[27 52]
23,31,[22 28],34
24,31,28,[31 34 37 52 56]
25,31,28,[28 33 42 43 53]
26,31,17,[20 23 26 32 33 34 39 41 42 51]
27,31,28,35
28,31,28,31
29,31,22,[23 26 34 39 40]
30,31,28,[31 34 36]
31,31,4,29
32,31,[18 28],[18 20 21 24 27 42 52]
33,31,21,32
34,18,6,[18 19 21 29 35 36 42 52]
35,18,6,26
36,23,23,93
37,23,23,94
38,23,23,89
39,23,23,94
40,23,23,89
41,23,23,60
42,23,23,94
43,23,23,88
44,23,23,93
45,23,23,92
46,23,23,95
47,23,17,[33 36 53]
48,23,23,[79 80 88]
49,23,23,[40 51 61 68 77 80 89 91 92 94 95]
50,30,5,[18 23 25 42 53 81]
51,30,28,[44 47 56]
52,30,4,[31 33]
53,30,4,[33 34 44]
54,30,4,46
55,30,28,[24 36]
56,30,28,44
57,30,4,[29 32 34 36 37 45 52]
58,30,28,32
59,30,0,34
60,30,4,29
61,30,4,25
62,30,28,34
63,30,28,[39 40 53 56]
64,30,4,[22 25 32 35 48]
65,30,4,[36 38 43 48]
66,30,28,[34 35]
67,30,28,[41 46]
68,30,28,[22 26 27 28 30 34 37 39 41 54]
70,30,0,[32 39 54 69]
71,30,28,[34 42 44 48]
72,30,7,[21 27 48]
73,30,21,[37 50 56]
74,30,0,[46 59 60]
75,30,28,[29 31 33 39 48]
76,30,[ 4 28],[25 29 31 32 34 35 38 40 42 48]
77,30,28,[27 28 33 42 44 47 49]
78,30,4,[30 32]
79,30,28,[24 29 39 42 46 47]
80,30,7,[22 28]
81,30,28,[25 33]
82,30,7,31
83,30,28,[33 35 48 49]
84,30,28,[22 26 30]
85,30,[ 4 28],[33 40]
86,30,4,24
87,30,28,[22 23 30 32 34 42]
88,30,6,[33 34 39]
89,30,28,[31 39 41]
90,30,7,41
91,30,28,[32 33 40 41 49]
92,30,28,[26 30]
93,30,21,37
94,30,21,[28 39 48 53]
95,30,28,29
96,30,4,40
97,30,28,[27 32]
98,30,4,62
99,30,[ 2  4 21 28],[30 37 39 55]
100,30,4,[40 47 54 61]
101,30,28,42
102,30,28,45
103,30,4,[26 32 33 41 45 48 50 51 52 55 74]
104,30,28,[38 40 45]
105,30,28,[36 42 44]
106,30,28,[31 34 36 44 45 50]
107,30,28,[38 48]
108,30,28,38
109,30,21,25
110,30,7,[28 30 33 39]
111,30,4,[28 30 31]
112,30,0,45
113,30,28,41
114,30,4,34
115,30,28,[28 48 68]
116,30,4,[33 35 42 44 46]
117,30,[20 21],23
118,30,4,44
119,30,16,[18 24 26 28 29 34 35 40]
120,30,28,33
121,30,4,[21 32]
122,30,28,[35 36 38]
123,30,28,[31 32 43 59]
124,30,28,[30 46 49 57]
125,30,28,17
126,30,3,47
127,30,3,[50 64 67 68 70 71]
128,30,2,32
129,30,22,28
130,30,3,[38 55 65]
131,30,28,[24 25 29 34 41]
132,30,0,[29 34]
133,30,28,51
134,30,0,45
135,30,3,55
136,30,28,42
137,30,0,[39 40]
138,30,28,31
139,30,4,37
140,30,3,[25 30 31]
141,30,28,[26 39 41]
142,30,0,[75 76 79 82]
143,30,28,[22 27]
144,30,28,34
145,30,0,[24 38 59 66 75]
146,30,4,[32 36]
147,30,28,[25 28 30 37]
148,30,[ 0 28],[27 41 50 54]
149,30,28,34
150,30,4,[18 37 38 41 43 51 56 58]
151,30,28,[49 55 59]
152,30,0,46
153,30,0,53
154,30,3,[41 47 59]
155,30,28,31
156,30,3,[44 50]
157,30,4,[27 29 35 37 38 42 43 47 51 52 54 63]
158,30,28,[35 43 44 45 48 53 57 58 65 66]
159,30,28,[20 23 36 47 48]
160,30,28,51
161,30,3,56
162,30,0,[36 60 72 75 77]
163,30,28,36
164,30,28,[24 26 28 29 32]
165,30,[ 0  4 28],[28 29 34 37 43 49]
166,30,28,[43 44 50 60]
167,30,28,43
168,30,4,[34 37 38]
169,30,4,33
170,30,3,24
171,30,28,46
173,30,[ 4 21 28],63
174,30,28,44
175,30,19,[39 85]
176,30,4,41
177,30,28,34
178,30,4,35
180,30,4,50
181,30,28,32
182,30,3,34
183,30,4,[33 45]
184,30,4,37
185,30,21,29
186,30,[ 4 28],31
187,30,4,37
189,30,28,[34 35 37 41]
190,30,19,[28 30 35 37 45 46 57 59]
191,30,0,64
192,30,28,39
193,30,0,49
194,30,28,35
195,30,28,[24 43 47]
196,30,21,[40 45 46 59]
197,30,28,[30 31 35 37 45]
198,30,21,[29 34 37 40]
199,30,28,46
200,30,28,[43 46]
201,30,28,[27 28]
202,30,28,[20 28 40]
203,30,28,[30 34 45]
204,30,28,[52 56]
205,30,28,34
206,30,21,33
208,30,28,[28 30 32 36 40]
209,30,28,44
210,30,21,[33 40]
211,30,0,[23 35]
212,30,[0 4],[20 36 41 46 52 54 59 75 76]
213,30,4,[30 38 39 47 62 65 68 71]
214,30,5,[32 35 63 74]
215,30,4,[30 40]
