label_index,field_count,precision,recall,f1-score,confidence,label_index,label
30,910,,0.0,0.0,39.00291204587728,30,Trees
10,17,,0.0,0.0,36.99044711552919,10,Spring Rye
9,193,,0.0,0.0,47.568267341445406,9,Winter Rye
26,336,,0.0,0.0,49.01280309029211,26,Beans
29,11,,0.0,0.0,40.426188318434306,29,Turnips
13,9,0.0,0.0,0.0,35.43015873015873,13,Millet
11,298,0.14285714285714285,0.003355704697986577,0.006557377049180328,47.0943897784661,11,Spring Wheat
24,33,0.03442879499217527,0.6666666666666666,0.06547619047619048,53.86198892755937,24,Soybeans
31,34,0.13333333333333333,0.23529411764705882,0.1702127659574468,38.11377349266564,31,Vineyard
14,105,0.2765957446808511,0.12380952380952381,0.17105263157894737,41.24779478685805,14,Sorghum
8,311,0.12370242214532871,0.45980707395498394,0.19495569188820722,47.816800119211834,8,Triticale
15,1131,0.4296577946768061,0.29973474801061006,0.353125,45.05151662346075,15,Spring Oats
2,388,0.3363431151241535,0.38402061855670105,0.358604091456077,46.29075420042614,2,Clover
16,184,0.4065934065934066,0.40217391304347827,0.40437158469945356,49.94646813130522,16,Winter Oats
6,4192,0.47459039155790056,0.4076812977099237,0.43859874246118313,51.919842815041875,6,Spring Barley
27,112,0.4125874125874126,0.5267857142857143,0.4627450980392157,52.78648513427573,27,Lentils
4,1885,0.46618004866180046,0.5082228116710875,0.4862944162436548,43.689484599600256,4,Ryegrass
20,6921,0.5658501091438273,0.674180031787314,0.6152831805894375,50.88318971469143,20,Grain Corn
28,11817,0.8310152086312231,0.541000253871541,0.6553562275756023,43.49097030323422,28,Fallow
17,880,0.5565217391304348,0.8,0.6564102564102564,61.47491657129506,17,Sunflowers
25,2112,0.6423562412342216,0.8674242424242424,0.7381144238517324,61.57089647752187,25,Peas
18,4124,0.9769566944775526,0.5962657613967022,0.7405511218190032,49.50739590992389,18,Flax
21,15925,0.8463974663499604,0.7383987441130299,0.7887182238916091,51.06763876681981,21,Silage Corn
3,2912,0.8910048622366289,0.7551510989010989,0.8174721189591078,58.427368495661135,3,Alfalfa
5,12097,0.7339356795349719,0.960238075555923,0.831972496776966,72.78799883621953,5,Winter Barley
22,6861,0.8444915254237289,0.8714473108876257,0.8577576931353561,67.82140142500481,22,Potatoes
7,58875,0.9592611291979317,0.935864118895966,0.9474181955740496,67.18059494064698,7,Winter Wheat
19,10158,0.9317950143638217,0.9898602087025005,0.9599503556255669,80.17647561257452,19,Canola
23,11031,0.9671459774299236,0.9633759405312302,0.9652572778055316,76.83371071746018,23,Sugarbeets
