field_index,field_id,area_m2,normalized_label,year,geometry,label,label_index,label_value,predictions,confidence,n_pixels
69,8f3df8d3-ec1d-4cdc-8919-977e6a5ebf1c,2315.0030318581908,trees,2022,"POLYGON ((2.338237 50.051964, 2.33759 50.051884, 2.33709 50.051844, 2.336015 50.051945, 2.335828 50.051897, 2.335732 50.051856, 2.33541 50.051911, 2.335367 50.051757, 2.337319 50.051775, 2.338163 50.051915, 2.338237 50.051964))",Trees,30,,,,
172,55c2781d-c0c5-4bf9-a2fa-53a655cbdb4e,41716.844739155466,trees,2022,"POLYGON ((1.766063 49.342584, 1.766344 49.342532, 1.766592 49.34253, 1.766812 49.342465, 1.766942 49.342355, 1.767058 49.342215, 1.767142 49.342064, 1.767187 49.341844, 1.767318 49.341715, 1.767525 49.34159, 1.767926 49.341554, 1.768067 49.341577, 1.768195 49.341559, 1.768395 49.341541, 1.768835 49.341456, 1.769238 49.341341, 1.769461 49.341591, 1.769801 49.342006, 1.768836 49.342146, 1.768564 49.342279, 1.768308 49.342423, 1.768046 49.342482, 1.767798 49.342538, 1.767581 49.342505, 1.76744 49.342548, 1.767374 49.342573, 1.767362 49.342611, 1.767653 49.343359, 1.767793 49.343761, 1.767796 49.343945, 1.76746 49.344154, 1.767254 49.344375, 1.767067 49.344491, 1.76688 49.344459, 1.766735 49.344469, 1.766653 49.344444, 1.766432 49.344398, 1.766359 49.344387, 1.766139 49.344339, 1.766122 49.344334, 1.765929 49.344238, 1.765789 49.344006, 1.765777 49.34387, 1.765787 49.343609, 1.765915 49.343424, 1.766029 49.343228, 1.765986 49.343052, 1.76587 49.342879, 1.76583 49.342736, 1.765934 49.34264, 1.766063 49.342584))",Trees,30,,,,
179,1ac75cbf-4f3c-4587-9f19-abfcef8439b7,65256.59334225271,trees,2022,"POLYGON ((1.766791 49.347913, 1.766973 49.347546, 1.767003 49.34742, 1.766454 49.347328, 1.766138 49.347318, 1.766091 49.34739, 1.765946 49.347533, 1.76587 49.347559, 1.765748 49.347702, 1.765001 49.347557, 1.765064 49.347503, 1.765011 49.347431, 1.765248 49.347318, 1.76549 49.347161, 1.765576 49.34717, 1.7658 49.347164, 1.765915 49.347113, 1.765993 49.347039, 1.765973 49.347004, 1.765954 49.34692, 1.765873 49.346838, 1.765732 49.346814, 1.765551 49.346769, 1.765511 49.346695, 1.765611 49.34638, 1.765754 49.346192, 1.765864 49.346091, 1.765982 49.346057, 1.766152 49.346051, 1.766293 49.346021, 1.766381 49.345939, 1.76646 49.345823, 1.76647 49.345703, 1.766434 49.345599, 1.76635 49.345384, 1.766443 49.345236, 1.766712 49.344935, 1.766814 49.344866, 1.766929 49.344811, 1.76708 49.344722, 1.767176 49.344666, 1.767233 49.344528, 1.767326 49.34452, 1.767365 49.34453, 1.767735 49.344684, 1.767924 49.344921, 1.767927 49.344925, 1.767923 49.345098, 1.768018 49.345313, 1.768109 49.345566, 1.768165 49.345635, 1.768337 49.34579, 1.768407 49.34599, 1.768502 49.346116, 1.768558 49.34622, 1.768608 49.346289, 1.768651 49.346324, 1.768608 49.346449, 1.768552 49.346565, 1.768495 49.346707, 1.768474 49.346871, 1.7701 49.347115, 1.770007 49.347234, 1.769827 49.347375, 1.769476 49.347603, 1.76942 49.347719, 1.76941 49.347983, 1.767422 49.347721, 1.767326 49.348045, 1.766708 49.34798, 1.766791 49.347913))",Trees,30,,,,
188,6157b68b-68b2-4b09-bb57-7f11c8c58a48,34413.80348343168,trees,2022,"POLYGON ((1.771068 49.339523, 1.770466 49.339772, 1.770684 49.34024, 1.770293 49.340445, 1.769917 49.340632, 1.76963 49.340781, 1.769339 49.340923, 1.769043 49.340649, 1.768951 49.340676, 1.768855 49.340523, 1.768724 49.340273, 1.768554 49.339986, 1.768352 49.339775, 1.768097 49.339577, 1.768228 49.339439, 1.768398 49.339325, 1.76849 49.339269, 1.7686 49.339241, 1.769101 49.339158, 1.769489 49.339071, 1.769684 49.338955, 1.769876 49.338857, 1.77006 49.338761, 1.770273 49.338668, 1.770454 49.338575, 1.770725 49.338557, 1.771258 49.338842, 1.771607 49.338955, 1.771686 49.339265, 1.771068 49.339523))",Trees,30,,,,
207,7ae594d0-5a8c-43cb-a1f2-34f05eca32ca,50842.42236709767,trees,2022,"POLYGON ((1.76652 49.339598, 1.767173 49.339652, 1.767257 49.339814, 1.767624 49.339741, 1.767566 49.340114, 1.767573 49.340482, 1.767339 49.341027, 1.7668 49.341612, 1.767018 49.341792, 1.767037 49.342014, 1.766978 49.342191, 1.766836 49.342335, 1.766496 49.342451, 1.765963 49.342483, 1.765833 49.342563, 1.765773 49.342662, 1.765773 49.342819, 1.76582 49.342988, 1.765904 49.343089, 1.765938 49.343194, 1.765675 49.34356, 1.765643 49.3438, 1.76571 49.344067, 1.765781 49.34427, 1.765917 49.344404, 1.766035 49.344463, 1.76619 49.344534, 1.766571 49.34458, 1.766782 49.344601, 1.766996 49.34463, 1.766862 49.344783, 1.766677 49.344906, 1.764831 49.344914, 1.764788 49.344914, 1.765076 49.343578, 1.765457 49.342095, 1.766006 49.340298, 1.766139 49.339926, 1.766236 49.339584, 1.76652 49.339598))",Trees,30,,,,
656,1a82481a-6cbc-42e0-8d67-ab6ec5bac568,23093.939518940788,trees,2022,"POLYGON ((1.749142 49.503286, 1.748636 49.503747, 1.748631 49.503841, 1.748982 49.503985, 1.74946 49.504295, 1.749726 49.504254, 1.750341 49.503919, 1.750496 49.50398, 1.750506 49.503985, 1.750419 49.50405, 1.750247 49.504166, 1.750516 49.504371, 1.750644 49.504464, 1.749588 49.505261, 1.749113 49.504996, 1.748479 49.50464, 1.747945 49.504368, 1.747782 49.504332, 1.747227 49.504105, 1.74875 49.503059, 1.749142 49.503286))",Trees,30,,,,
667,c4e6b8bb-d46b-420b-8ee3-c79d2c8a098a,6451.9038117493155,trees,2022,"POLYGON ((1.749168 49.503301, 1.749345 49.503407, 1.749289 49.503454, 1.74937 49.503493, 1.749831 49.503689, 1.750327 49.503912, 1.749737 49.504239, 1.749463 49.504281, 1.748996 49.503976, 1.748887 49.503933, 1.748651 49.503837, 1.748652 49.50375, 1.748973 49.503471, 1.749114 49.503348, 1.749168 49.503301))",Trees,30,,,,
968,d6693451-aad5-4a0b-989b-85b4b40bfad0,45574.19100668901,corn_silage,2022,"POLYGON ((1.748607 49.532385, 1.748102 49.532669, 1.748041 49.532634, 1.747926 49.532561, 1.74779 49.53247, 1.747534 49.532305, 1.747142 49.532054, 1.746758 49.531795, 1.746456 49.531573, 1.745993 49.531351, 1.745617 49.531188, 1.745251 49.531003, 1.743961 49.530375, 1.743102 49.529976, 1.743389 49.529703, 1.743523 49.529579, 1.743673 49.529433, 1.743828 49.529279, 1.743987 49.529131, 1.744401 49.529356, 1.744791 49.52957, 1.745559 49.529972, 1.745868 49.530129, 1.746163 49.530287, 1.746595 49.530578, 1.746868 49.530754, 1.747141 49.530945, 1.747401 49.53113, 1.747611 49.531279, 1.748334 49.531815, 1.748633 49.532107, 1.748819 49.532266, 1.74883 49.532272, 1.748818 49.532277, 1.748607 49.532385))",Silage Corn,21,,,,
1576,0bd12d02-44cd-403a-9976-59ebbf404184,11243.54394524109,corn_silage,2022,"POLYGON ((1.741236 49.543161, 1.741232 49.543165, 1.740888 49.54352, 1.740448 49.543929, 1.7401 49.543816, 1.739495 49.54349, 1.73934 49.543432, 1.739369 49.543342, 1.739565 49.543082, 1.739817 49.542841, 1.740063 49.542574, 1.741242 49.543154, 1.741236 49.543161))",Silage Corn,21,,,,
1745,05758eb2-4dba-4476-ade3-a6e7c0b84b4b,54744.69720020457,corn_silage,2022,"POLYGON ((1.703918 49.582867, 1.703652 49.583204, 1.703392 49.583554, 1.703086 49.584036, 1.702382 49.585142, 1.701997 49.58579, 1.699886 49.584926, 1.700356 49.584492, 1.70081 49.5841, 1.700931 49.583897, 1.701164 49.583497, 1.701381 49.583084, 1.701502 49.582813, 1.701509 49.582792, 1.701537 49.582711, 1.701601 49.582543, 1.701749 49.582194, 1.701755 49.582195, 1.703913 49.582865, 1.703918 49.582867))",Silage Corn,21,,,,
